Performance Comparison Report
========================================
[MongoDB] User: ae11c98c-feaa-4390-b114-c6b6dda43b0b, Likes: 1, Bookmarks: 1, Total Duration: 376.0321s
[MongoDB] User: 190b0c78-56e3-4cff-97c8-c7b67ad46dc3, Likes: 1, Bookmarks: 1, Total Duration: 384.8351s
[MongoDB] User: 27643421-d565-4ed9-98a7-178f9d5338f6, Likes: 1, Bookmarks: 1, Total Duration: 393.7373s
[MongoDB] User: b2ce3852-d40f-42af-a6cf-b38b7103a623, Likes: 2, Bookmarks: 2, Total Duration: 402.7415s
[MongoDB] User: 7d744cfc-3474-4b90-9837-0bd3c34d972c, Likes: 2, Bookmarks: 2, Total Duration: 411.8452s
[MongoDB] User: 8b7494f2-83ea-42d3-b8b5-018487c8f117, Likes: 2, Bookmarks: 2, Total Duration: 421.0485s
[MongoDB] User: 0055e49a-b0a2-490f-8182-66cf76ae6762, Likes: 2, Bookmarks: 2, Total Duration: 430.3510s
[MongoDB] User: 43576c79-61c6-4ce4-98ba-6f00182a6eab, Likes: 1, Bookmarks: 1, Total Duration: 439.7531s
[MongoDB] User: 3845ac0c-b61c-49bb-b183-ae6c218915f8, Likes: 2, Bookmarks: 2, Total Duration: 449.2586s
[MongoDB] User: 6025b27a-3838-4906-8c9d-7a538911699e, Likes: 5, Bookmarks: 5, Total Duration: 458.8669s
[MongoDB] User: 0e72b204-17d3-4885-98ac-d5083f72f1c3, Likes: 2, Bookmarks: 2, Total Duration: 468.5768s
[MongoDB] User: 2a529707-77d1-4ab4-9a0c-74fb2fa36e45, Likes: 3, Bookmarks: 3, Total Duration: 478.3869s
[MongoDB] User: ecbbc115-0762-4d08-8920-84314ef51375, Likes: 2, Bookmarks: 2, Total Duration: 488.2986s
[MongoDB] User: 85bc19a2-1e3e-47bf-b234-da201c8a7dd8, Likes: 1, Bookmarks: 1, Total Duration: 498.3117s
[MongoDB] User: b8ce2b75-2ba1-4ca8-bb99-608b165a1885, Likes: 2, Bookmarks: 2, Total Duration: 508.4286s
[Film ID: f7c6a064-6dca-4aaa-996d-aeceab8ce687] Avg PG: 5.3920187793427230, Duration: 0.0127s
[Film ID: 6e90e8fc-bead-4f88-a7ff-86c6fa97b13b] Avg PG: 6.3870967741935484, Duration: 0.0247s
[Film ID: 3036a1a5-9464-4ec5-a705-61e3596a07e6] Avg PG: 4.5185185185185185, Duration: 0.0368s
[Film ID: d6a02e88-b3b3-461a-8517-77dbba031b49] Avg PG: 5.5000000000000000, Duration: 0.0487s
[Film ID: 69dc2193-817e-4c2a-a769-58ee6eaa8d4f] Avg PG: 5.4854881266490765, Duration: 0.0609s
[Film ID: 9e9cbace-5ee6-4d70-968e-a9dbd4f5a3ba] Avg PG: 5.2068965517241379, Duration: 0.0739s
